"","x"
"1","Nhp2"
"2","Cct7"
"3","Pdap1"
"4","Cct6a"
"5","Mrpl20"
"6","Lyar"
"7","Cacybp"
"8","Rexo2"
"9","Metap2"
"10","Cycs"
"11","Cdv3"
"12","Eif4g2"
"13","Snrpd3"
"14","Mrpl18"
"15","Psmb2"
"16","Eif2s2"
"17","Pdcd5"
"18","Wdr74"
"19","Timm13"
"20","Ncl"
"21","Slc25a3"
"22","E2f4"
"23","Eif3j1"
"24","Tomm40"
"25","Atp5c1"
"26","Gtpbp4"
"27","Hsp90ab1"
"28","Pabpc4"
"29","Gnl3"
"30","Hspd1"
"31","Atp5k"
"32","Pgam1"
"33","Glrx3"
"34","Eif3g"
"35","Eif4a1"
"36","Snrnp70"
"37","Mrto4"
"38","Tomm5"
"39","Ddx21"
"40","Bop1"
"41","Aldoa"
"42","Tcp1"
"43","Rrp9"
"44","Atp5f1"
"45","Ebna1bp2"
"46","Cct8"
"47","Ndufs7"
"48","Rcc1"
"49","Galk1"
"50","Banf1"
"51","Fkbp4"
"52","Snhg3"
"53","Adat2"
"54","Btf3"
"55","C1qbp"
"56","Cish"
"57","Comtd1"
"58","Eif3m"
"59","Fam136a"
"60","Gm15915"
"61","Mrps18b"
"62","Phb2"
"63","Psmg3"
"64","Sco2"
"65","Srm"
"66","Zfp593"
